time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Falz-,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Falz-,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Falz-,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Falz-,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Falz-,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Falz-,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Falz-
20241022 _110802,45587.463919375,1729591682.6346,00:00:00,25,25,25,25,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.32,7.86,7.82,8.23,8.68,8.69,6.52,0,.,.,.,.,.,.,.,.
20241022 _110803,45587.4639309722,1729591683.63692,00:00:00,25,25.01,24.99,24.99,24.99,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.24,7.72,7.93,10.19,8.79,8.67,8.26,0,.,.,.,.,.,.,.,.
20241022 _110804,45587.4639426505,1729591684.64523,00:00:00,25,25,25,24.98,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.23,9.77,6.03,8.67,8.76,8.65,8.16,0,.,.,.,.,.,.,.,.
20241022 _110805,45587.4639543634,1729591685.65752,00:00:00,25,24.99,25.01,24.99,25.01,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.12,8.17,7.63,8.63,6.93,8.6,10.07,0,.,.,.,.,.,.,.,.
20241022 _110806,45587.4639660995,1729591686.67181,00:00:00,25,25,25.01,25,25.01,24.99,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.19,8.02,7.59,8.51,6.88,8.81,8.4,0,.,.,.,.,.,.,.,.
20241022 _110807,45587.4639776852,1729591687.67213,00:00:00,25,25.01,25,25,24.99,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.07,9.63,7.75,8.59,8.77,8.96,8.37,0,.,.,.,.,.,.,.,.
20241022 _110808,45587.4639894444,1729591688.68841,00:00:00,25,25,25,25,24.99,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.13,7.83,7.64,8.62,8.82,8.81,8.21,0,.,.,.,.,.,.,.,.
20241022 _110809,45587.4640011574,1729591689.70071,00:00:00,24.99,24.99,25,25,25,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.3,8.05,7.69,8.64,8.7,8.81,8.09,0,.,.,.,.,.,.,.,.
20241022 _110810,45587.4640129514,1729591690.71998,00:00:00,24.99,24.99,25,25,25.01,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,9.26,8.1,7.75,8.6,8.52,8.81,8.18,0,.,.,.,.,.,.,.,.
20241022 _110811,45587.4640246412,1729591691.72928,00:00:00,25,25,25,25,25,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.25,7.9,7.78,8.61,8.69,8.74,8.35,0,.,.,.,.,.,.,.,.
